ID,Assemblage,H-obs,H-est,H s.e.,H LCL,H UCL,D-obs,D-est,D s.e.,D LCL,D UCL,S-obs,S-est,S s.e.,S LCL,S UCL,harvest,region,sample,location,site,category,year,season,date,width,CC,fines,D50,temp,cond,p,n,po4,sio4,no3,no2,nh4,chla,omRock,imRock,omSeston,imSeston,BIden,shred,sarahSite,Et,k20,GPP,ER,Rp,Rb,G,NEP,MinT,MaxT,MeanT,k,depth,elevation,no2no3,rhytisma,,Channel,Study,Sed1,Sed2,Sed3,Sed4,Sed5,Sed6,Sed7,Sed8,Sed9,Sed10,Sed11,Sed12,SedTot,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,region,Sum,Rich,EvenM,Div,SimpsonM
12,new12,1.165993221,1.166413285,0.003633505,1.159291746,1.173534825,1.044490154,1.044490582,0.001090575,1.042353095,1.046628068,70,74.04996274,7.013843427,70,87.79684325,1,Mills Reservoir, EU MS WB wk1,21,EUMSWB,MR,2017,Summer,80917,55,6,10,81,12.9,94.4,11.23,112.29,9.41,2311.49,2.39,0.28,98.05,0.47,0.2,0.52,0.9,0.7,1841.1,0.0596,EUMSWB-080917,0.47,0.59,535.9,1572.5,289.5,1288.4,1038.3,-1036.6,11.681,14.321,12.97821,NA,NA,NA,NA,NA,EUMSWB-080917,Main,Food,0.636071973,2.24,1.76,1.755,4.82,1.76,5.215,15.59,8.308,196.342,322.5,0,560.926072,0.001133968,0.003993396,0.003137668,0.003128755,0.008592933,0.003137668,0.009297125,0.027793324,0.014811221,0.350031867,0.574942075,0,Mills Reservoir,NA,NA,NA,NA,NA
36,new36,1.457074786,1.458019267,0.006634852,1.445015195,1.471023339,1.159024705,1.159027537,0.00239134,1.154340595,1.163714478,44,115.9988939,38.97320006,44,192.3849624,3,Mills Reservoir, EU MS WB wk3,21,EUMSWB,MR,2017,Summer,80917,55,6,10,81,12.9,94.4,11.23,112.29,9.41,2311.49,2.39,0.28,98.05,0.47,0.2,0.52,0.9,0.7,1841.1,0.0596,EUMSWB-080917,0.47,0.59,535.9,1572.5,289.5,1288.4,1038.3,-1036.6,11.681,14.321,12.97821,NA,NA,NA,NA,NA,EUMSWB-080917,Main,Food,0.636071973,2.24,1.76,1.755,4.82,1.76,5.215,15.59,8.308,196.342,322.5,0,560.926072,0.001133968,0.003993396,0.003137668,0.003128755,0.008592933,0.003137668,0.009297125,0.027793324,0.014811221,0.350031867,0.574942075,0,Mills Reservoir,NA,NA,NA,NA,NA
13,new13,2.728502039,2.737438948,0.041082506,2.656918715,2.817959181,1.535648484,1.535718595,0.012560077,1.511101296,1.560335894,68,72.4996165,5.867509933,68,83.99972465,1,Mills Reservoir, EU MS BC wk1,22,EUMSBC,MR,2017,Summer,80917,16.3,0,9,71,14.9,90.6,10.6,147.43,5.42,2103.8,2.33,0.29,26.23,0.34,0.13,0.35,0.9,0.3,338.4,0.052,EUMSBC-080917,0.18,1.13,3027,8959.1,756.7,8187.9,5916.7,-5932,11.987,14.506,13.17698,NA,NA,NA,NA,NA,EUMSBC-080917,Main,Food,0.185270017,0.545,1.23,1,2.63,1.235,5.145,16.387,35.687,83.865,63.2,0,211.10927,0.000877602,0.002581601,0.005826367,0.004736883,0.012458003,0.005850051,0.024371265,0.077623309,0.169045158,0.397258728,0.299371032,0,Mills Reservoir,NA,NA,NA,NA,NA
37,new37,1.471902052,1.47256026,0.008046957,1.456788513,1.488332006,1.14693412,1.146936866,0.002697244,1.141650365,1.152223367,40,53.49977998,16.25350272,40,85.35605993,3,Mills Reservoir, EU MS BC wk 3,22,EUMSBC,MR,2017,Summer,80917,16.3,0,9,71,14.9,90.6,10.6,147.43,5.42,2103.8,2.33,0.29,26.23,0.34,0.13,0.35,0.9,0.3,338.4,0.052,EUMSBC-080917,0.18,1.13,3027,8959.1,756.7,8187.9,5916.7,-5932,11.987,14.506,13.17698,NA,NA,NA,NA,NA,EUMSBC-080917,Main,Food,0.185270017,0.545,1.23,1,2.63,1.235,5.145,16.387,35.687,83.865,63.2,0,211.10927,0.000877602,0.002581601,0.005826367,0.004736883,0.012458003,0.005850051,0.024371265,0.077623309,0.169045158,0.397258728,0.299371032,0,Mills Reservoir,NA,NA,NA,NA,NA
14,new14,1.575108906,1.575984777,0.007332862,1.561612632,1.590356922,1.211391541,1.211395868,0.00294688,1.205620089,1.217171647,39,67.16619071,17.10137805,39,100.6842758,1,Mills Reservoir, EU MS WA wk1,23,EUMSWA,MR,2017,Summer,80917,49.1,17,5,130,13,90.6,12.23,143.22,7.63,2042.2,4.42,0.17,74.1,0.91,0.3,2.47,0.6,0.5,820.5,0.0896,EUMSWA-080917,1.04,0.16,644,1496.4,378.3,1120.6,846.4,-852.3,11.922,14.798,13.2247,NA,NA,NA,NA,NA,EUMSWA-080917,Main,Food,0.16088306,0.715,1.02,0.735,2.495,1.475,6.22,17.823,16.022,65.228,78.9,0,190.7938831,0.00084323,0.0037475,0.005346083,0.003852325,0.013076939,0.007730856,0.032600626,0.093414945,0.083975439,0.341876788,0.41353527,0,Mills Reservoir,NA,NA,NA,NA,NA
38,new38,3.791861123,3.802516989,0.063079053,3.678884318,3.926149661,2.036295554,2.036479322,0.025664395,1.986178032,2.086780612,54,60.74941228,6.150878909,54,72.80491341,3,Mills Reservoir,EU MS WA wk 3,23,EUMSWA,MR,2017,Summer,80917,49.1,17,5,130,13,90.6,12.23,143.22,7.63,2042.2,4.42,0.17,74.1,0.91,0.3,2.47,0.6,0.5,820.5,0.0896,EUMSWA-080917,1.04,0.16,644,1496.4,378.3,1120.6,846.4,-852.3,11.922,14.798,13.2247,NA,NA,NA,NA,NA,EUMSWA-080917,Main,Food,0.16088306,0.715,1.02,0.735,2.495,1.475,6.22,17.823,16.022,65.228,78.9,0,190.7938831,0.00084323,0.0037475,0.005346083,0.003852325,0.013076939,0.007730856,0.032600626,0.093414945,0.083975439,0.341876788,0.41353527,0,Mills Reservoir,NA,NA,NA,NA,NA
15,new15,2.823691217,2.827642162,0.027370473,2.77399702,2.881287303,1.662750491,1.662794487,0.010637517,1.641945338,1.683643637,62,66.89980438,6.248795231,62,79.14721798,1,Mills Reservoir, EU MS SC wk1 ,24,EUMSSC,MR,2017,Summer,80917,33.3,2,2,90,14.4,97.6,12.66,140.23,4.22,2136.98,3.77,0.2,12.97,0.74,0.16,0.62,0.7,1.9,989.5,0.0802,EUMSSC-080917,0.32,0.5,1364.5,1965.7,0,1954.4,1289.4,-601.2,11.849,15.007,13.25978,NA,NA,NA,NA,NA,EUMSSC-080917,Main,Food,0.377833717,0.78,1.43,1.29,4.635,2.48,7.395,16.073,28.503,146.026,213.7,0,422.6898337,0.000893879,0.001845325,0.003383095,0.003051883,0.010965487,0.005867186,0.017495098,0.038025518,0.067432424,0.345468446,0.505571658,0,Mills Reservoir,NA,NA,NA,NA,NA
39,new39,1.19957691,1.200645157,0.007091644,1.186745791,1.214544523,1.048692682,1.048694857,0.001853159,1.045062732,1.052326983,39,40.33327654,5.307073724,39,50.73494991,3,Mills Reservoir, EU MS SC wk3,24,EUMSSC,MR,2017,Summer,80917,33.3,2,2,90,14.4,97.6,12.66,140.23,4.22,2136.98,3.77,0.2,12.97,0.74,0.16,0.62,0.7,1.9,989.5,0.0802,EUMSSC-080917,0.32,0.5,1364.5,1965.7,0,1954.4,1289.4,-601.2,11.849,15.007,13.25978,NA,NA,NA,NA,NA,EUMSSC-080917,Main,Food,0.377833717,0.78,1.43,1.29,4.635,2.48,7.395,16.073,28.503,146.026,213.7,0,422.6898337,0.000893879,0.001845325,0.003383095,0.003051883,0.010965487,0.005867186,0.017495098,0.038025518,0.067432424,0.345468446,0.505571658,0,Mills Reservoir,NA,NA,NA,NA,NA
20,new20,10.0362659,10.06000983,0.083364423,9.896618565,10.2234011,5.75910728,5.760129469,0.05324287,5.655775362,5.864483576,92,118.1808419,15.25327798,92,148.0767174,1,Tributary,  EM TR GC wk1,1,EMTRGC,TR,2017,Summer,80917,4.6,95,9,44,13.3,145.5,24.23,124.91,5.04,4502.05,11.76,0.51,19.97,0.45,0.06,0.08,4.8,4.8,1704,0.007,EMTRGC-080917,0,0.66,277.9,4280.8,87.2,4194.7,4018.6,-4002.9,10.48,14.057,12.23568,0.015385,32,123.647,27.2,10,EMTRGC-080917,Tributary,Food,0.044220264,0.135,0.55,0.655,2.325,1.285,5.115,15.374,23.274,38.123,113.8,0,200.6802203,0.000220352,0.000672712,0.002740679,0.003263899,0.011585596,0.006403222,0.025488312,0.076609444,0.115975555,0.189968897,0.567071333,0,Tributary,65,11,0.772,1.851,0.7863
44,new44,1.75065726,1.751281755,0.011812349,1.728129977,1.774433533,1.258544863,1.258553278,0.004265395,1.250193258,1.266913298,26,26.89997673,4.295354846,26,35.31871753,3,Tributary,  EM TR GC wk3,1,EMTRGC,TR,2017,Summer,80917,4.6,95,9,44,13.3,145.5,24.23,124.91,5.04,4502.05,11.76,0.51,19.97,0.45,0.06,0.08,4.8,4.8,1704,0.007,EMTRGC-080917,0,0.66,277.9,4280.8,87.2,4194.7,4018.6,-4002.9,10.48,14.057,12.23568,0.015385,32,123.647,27.2,10,EMTRGC-080917,Tributary,Food,0.044220264,0.135,0.55,0.655,2.325,1.285,5.115,15.374,23.274,38.123,113.8,0,200.6802203,0.000220352,0.000672712,0.002740679,0.003263899,0.011585596,0.006403222,0.025488312,0.076609444,0.115975555,0.189968897,0.567071333,0,Tributary,82,10,0.734,1.69,0.7308
21,new21,3.683900635,3.685336327,0.025312074,3.635725574,3.73494708,1.911807999,1.911833767,0.009343313,1.893521209,1.930146324,48,51.12495381,7.643849939,48,66.10662439,1,Tributary, EM TR MC wk1,2,EMTRMC,TR,2017,Summer,80817,3.3,89,14,42,13.7,177.6,22.68,151.22,9.64,6985.1,11.48,0.23,9.1,2.3,0.31,0.3,0.4,0.2,857.6,0.1045,EMTRMC-080817,0.37,0.05,498.4,2539.5,336,2205.6,2045.4,-2041.1,12.394,15.141,13.64899,0.01298,20,78.019,17.4,2,EMTRMC-080817,Tributary,Food,0.537492882,0.495,0.35,0.35,1.635,0.935,3.34,19.01,30.95,15.82,0,0,73.42249288,0.007320548,0.006741803,0.004766932,0.004766932,0.02226838,0.012734517,0.045490147,0.258912484,0.42153295,0.215465307,0,0,Tributary,146,8,0.783,1.629,0.7387
45,new45,9.318534012,9.349005381,0.131979136,9.090331028,9.607679733,6.46621386,6.472202086,0.106299597,6.263858704,6.680545468,29,37.9984769,8.552160603,29,54.76040367,3,Tributary, EM TR MC wk3,2,EMTRMC,TR,2017,Summer,80817,3.3,89,14,42,13.7,177.6,22.68,151.22,9.64,6985.1,11.48,0.23,9.1,2.3,0.31,0.3,0.4,0.2,857.6,0.1045,EMTRMC-080817,0.37,0.05,498.4,2539.5,336,2205.6,2045.4,-2041.1,12.394,15.141,13.64899,0.01298,20,78.019,17.4,2,EMTRMC-080817,Tributary,Food,0.537492882,0.495,0.35,0.35,1.635,0.935,3.34,19.01,30.95,15.82,0,0,73.42249288,0.007320548,0.006741803,0.004766932,0.004766932,0.02226838,0.012734517,0.045490147,0.258912484,0.42153295,0.215465307,0,0,Tributary,137,9,0.734,1.613,0.7399
22,new22,3.480629195,3.48178679,0.018618214,3.445295761,3.518277818,1.899860111,1.899879811,0.006839406,1.886474821,1.913284801,47,59.49985596,10.53212025,47,80.14243233,1,Tributary, EM TR LLR wk1,3,EMTRLLR,TR,2017,Summer,80817,6.1,98,10,70,14,158.6,19.72,199.2,12.73,5538.37,39.89,0.68,162.14,1.42,0.12,0.09,1.4,0.9,606.5,0,EMTRLLR-080817,0.2,0.9,2837.8,7673.4,0,7673.4,4909.8,-4835.6,10.03,14.286,12.37166,0.037153,33,77.226,57.8,2,EMTRLLR-080817,Tributary,Food,0.295725099,0.315,0.89,0.965,3.385,1.98,7.255,25.39,19.679,54.945,0,0,115.0997251,0.002569295,0.002736757,0.007732425,0.008384034,0.02940928,0.017202474,0.063032297,0.220591317,0.170973475,0.477368647,0,0,Tributary,65,11,0.772,1.851,0.7863
46,new46,10.66744164,10.68607026,0.081249676,10.52682382,10.8453167,6.892880531,6.894427088,0.047086552,6.802139141,6.986715034,85,88.49986677,7.39521686,85,102.9942255,3,Tributary, EM TR LLR wk3,3,EMTRLLR,TR,2017,Summer,80817,6.1,98,10,70,14,158.6,19.72,199.2,12.73,5538.37,39.89,0.68,162.14,1.42,0.12,0.09,1.4,0.9,606.5,0,EMTRLLR-080817,0.2,0.9,2837.8,7673.4,0,7673.4,4909.8,-4835.6,10.03,14.286,12.37166,0.037153,33,77.226,57.8,2,EMTRLLR-080817,Tributary,Food,0.295725099,0.315,0.89,0.965,3.385,1.98,7.255,25.39,19.679,54.945,0,0,115.0997251,0.002569295,0.002736757,0.007732425,0.008384034,0.02940928,0.017202474,0.063032297,0.220591317,0.170973475,0.477368647,0,0,Tributary,82,10,0.734,1.69,0.7308
23,new23,5.060892198,5.071918613,0.062070936,4.950261814,5.193575412,3.136886785,3.137531329,0.035779131,3.067405521,3.207657137,38,42.89952898,9.559453329,38,61.63571322,1,Tributary, EM TR IC1 wk1,4,EMTRIC1,TR,2017,Summer,81017,12.7,100,8,73,14.9,185.9,28.32,270.71,17.35,5686.3,110.54,0.68,162.37,0.84,0.09,0.12,4,2.6,373.6,0.0171,EMTRIC1-081017,0.48,0.63,1134.1,4216.8,350.7,3865.9,3083,-3082.6,13.561,16.078,14.85335,0.054106,27,70.9125,131.6,5,EMTRIC1-081017,Tributary,Food,0.06956512,0.015,0.09,0.235,1.325,0.8,3.815,18.18,35.677,44.247,0,0,104.4535651,0.000665991,0.000143604,0.000861627,0.002249804,0.012685062,0.007658906,0.036523406,0.174048631,0.341558471,0.423604498,0,0,Tributary,146,8,0.783,1.629,0.7387
47,new47,4.269527266,4.277460441,0.043334419,4.19252654,4.362394341,2.814747806,2.815036981,0.016296373,2.783096678,2.846977285,56,62.39963774,10.19601547,56,82.38346085,3,Tributary, EM TR IC1 wk3,4,EMTRIC1,TR,2017,Summer,81017,12.7,100,8,73,14.9,185.9,28.32,270.71,17.35,5686.3,110.54,0.68,162.37,0.84,0.09,0.12,4,2.6,373.6,0.0171,EMTRIC1-081017,0.48,0.63,1134.1,4216.8,350.7,3865.9,3083,-3082.6,13.561,16.078,14.85335,0.054106,27,70.9125,131.6,5,EMTRIC1-081017,Tributary,Food,0.06956512,0.015,0.09,0.235,1.325,0.8,3.815,18.18,35.677,44.247,0,0,104.4535651,0.000665991,0.000143604,0.000861627,0.002249804,0.012685062,0.007658906,0.036523406,0.174048631,0.341558471,0.423604498,0,0,Tributary,137,9,0.734,1.613,0.7399
19,new19,6.65684747,6.668546888,0.050947639,6.568691349,6.768402426,4.762882534,4.763641876,0.032258792,4.700415806,4.826867945,62,78.33264145,13.55451793,62,104.8990084,1,Middle Elwha, EM MS TF wk1,5,EMMSTF,EM,2017,Summer,80817,55.1,18,1,93,16.9,99.3,24.39,250.2,4.8,2283.75,2.2,0.32,4.31,0.4,0.12,0.47,0.7,0.2,744,0.019,EMMSTF-080817,0,0.77,2095.3,4809.2,0,4809.2,3205.6,-2713.9,12.359,16.474,13.96971,0.018219,37,65.148,3.6,10,EMMSTF-080817,Tributary,Food,0.352253129,0,0,0,0,0.005,3.53,24.04,27.792,17.28,0,0,72.99925313,0.004825435,0,0,0,0,6.85E-05,0.048356659,0.329318438,0.380716224,0.236714751,0,0,Elwha Middle,357,10,0.53,1.219,0.6186
43,new43,7.568436183,7.580140998,0.054522918,7.473278041,7.687003954,6.005046373,6.007150513,0.038434314,5.931820642,6.082480385,32,42.66592022,15.01292607,32,72.09071463,3,Middle Elwha, EM MS TF wk3,5,EMMSTF,EM,2017,Summer,80817,55.1,18,1,93,16.9,99.3,24.39,250.2,4.8,2283.75,2.2,0.32,4.31,0.4,0.12,0.47,0.7,0.2,744,0.019,EMMSTF-080817,0,0.77,2095.3,4809.2,0,4809.2,3205.6,-2713.9,12.359,16.474,13.96971,0.018219,37,65.148,3.6,10,EMMSTF-080817,Tributary,Food,0.352253129,0,0,0,0,0.005,3.53,24.04,27.792,17.28,0,0,72.99925313,0.004825435,0,0,0,0,6.85E-05,0.048356659,0.329318438,0.380716224,0.236714751,0,0,Elwha Middle,481,9,0.452,0.993,0.5593
18,new18,1.184542541,1.185206268,0.00574362,1.17394898,1.196463557,1.054243679,1.054245525,0.001834891,1.050649204,1.057841846,30,32.57134556,7.133521939,30,46.55279164,1,Middle Elwha, EM MS MC wk1,6,EMMSMC,EM,2017,Summer,80817,54.5,19,4,65,16.5,90.3,12.02,148.92,3.3,2153.42,0.61,0.14,12.98,0.87,0.38,1.74,1,2.4,1902.9,0.045,EMMSMC-080817,0,0.27,5298.6,6113.8,15.8,6080,1001.5,-815.2,11.269,17.006,14.10266,0.062376,56,69.967,2.8,5,EMMSMC-080817,Main,Food,0.198104754,0.152,0.295,0.365,2.345,1.275,4.72,17.823,19.126,88.818,34.2,0,169.3171048,0.001170022,0.000897724,0.001742293,0.002155718,0.013849753,0.007530249,0.027876687,0.105264025,0.112959645,0.524566021,0.201987862,0,Elwha Middle,476,13,0.704,1.805,0.7862
42,new42,1.858366282,1.859913106,0.011775501,1.836833548,1.882992663,1.29914163,1.299152004,0.004334877,1.290655801,1.307648208,47,59.49966634,20.40343305,47,99.48966027,3,Middle Elwha,  EM MS MC wk3,6,EMMSMC,EM,2017,Summer,80817,54.5,19,4,65,16.5,90.3,12.02,148.92,3.3,2153.42,0.61,0.14,12.98,0.87,0.38,1.74,1,2.4,1902.9,0.045,EMMSMC-080817,0,0.27,5298.6,6113.8,15.8,6080,1001.5,-815.2,11.269,17.006,14.10266,0.062376,56,69.967,2.8,5,EMMSMC-080817,Main,Food,0.198104754,0.152,0.295,0.365,2.345,1.275,4.72,17.823,19.126,88.818,34.2,0,169.3171048,0.001170022,0.000897724,0.001742293,0.002155718,0.013849753,0.007530249,0.027876687,0.105264025,0.112959645,0.524566021,0.201987862,0,Elwha Middle,134,8,0.622,1.294,0.6635
17,new17,3.477502064,3.509415932,0.095993011,3.321273087,3.697558776,2.548163943,2.54961941,0.042677837,2.465972387,2.633266434,32,47.11942499,12.95245224,32,72.5057649,1,Middle Elwha, EM MS CG ,7,EMMSCG,EM,2017,Summer,81017,40.2,47,0,83,15.6,93.5,12.86,153.23,5.09,2119.24,5.3,0.29,30.86,0.42,0.12,0.16,0.9,0.6,2184,0.1172,EMMSCG-081017,0,0.5,6314.2,6104.7,0,6104.7,900.3,209.5,11.186,16.597,13.51334,0.072687,36,90.1275,10.4,3,EMMSCG-081017,Main,Food,0.098015873,0.155,0.53,0.565,2.32,1.515,7.445,14.954,9.041,22.946,0,0,59.56901587,0.001645417,0.002602024,0.008897243,0.009484797,0.038946421,0.025432685,0.124981081,0.251036546,0.151773533,0.385200253,0,0,Elwha Middle,357,10,0.53,1.219,0.6186
41,new41,9.261273003,9.378066549,0.246005366,8.895904891,9.860228207,6.092130347,6.104267687,0.135297334,5.839089785,6.369445588,44,61.99297424,24.59097576,44,110.1904011,3,Middle Elwha, EM MS CG wk 3,7,EMMSCG,EM,2017,Summer,81017,40.2,47,0,83,15.6,93.5,12.86,153.23,5.09,2119.24,5.3,0.29,30.86,0.42,0.12,0.16,0.9,0.6,2184,0.1172,EMMSCG-081017,0,0.5,6314.2,6104.7,0,6104.7,900.3,209.5,11.186,16.597,13.51334,0.072687,36,90.1275,10.4,3,EMMSCG-081017,Main,Food,0.098015873,0.155,0.53,0.565,2.32,1.515,7.445,14.954,9.041,22.946,0,0,59.56901587,0.001645417,0.002602024,0.008897243,0.009484797,0.038946421,0.025432685,0.124981081,0.251036546,0.151773533,0.385200253,0,0,Elwha Middle,481,9,0.452,0.993,0.5593
