,region,mills,trib,middle,reservoir,lower,delta,location,Sum,Rich,RichF,SimpF,ShanF,k,depth,site,date,width,CC,Fines,D50,Temp,Cond,p,n,po4,sio4,No3,no2,nh4,no2no3,chla,omRock,imRock,OM,imSeston,BI,SH,site,lat,long,rkm,Elev,Sed1,Sed2,Sed3,Sed4,Sed5,Sed6,Sed7,Sed8,Sed9,Sed10,Sed11,Sed12,SedTot,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,EvenM,Div,SimpsonM,Rhytisma
Loc01,Tributary,Other,Tributary,Other,Other,Other,Other,1,65,11,118.1808419,5.760129469,10.06000983,0.015385,32,EMTRGC,80917,4.6,95,9,44,13.3,145.5,24.23,124.91,5.04,4502.05,11.76,0.51,19.97,27.2,0.45,0.06,0.08,4.8,4.8,1704,0.007,EMTRGC,48.0159,-123.5897,19.2,113,0.071446462,0.585,1.405,1.045,2.705,1.02,3.995,12.486,9.121,159.45,95.6,0,287.4834465,0.000248524,0.0020349,0.004887238,0.003634992,0.009409237,0.00354803,0.013896452,0.043432066,0.031727044,0.55464063,0.332540886,0.772,1.851,0.7863,0.666666667
Loc02,Tributary,Other,Tributary,Other,Other,Other,Other,2,82,10,51.12495381,1.911833767,3.685336327,0.01298,20,EMTRMC,80817,3.3,89,14,42,13.7,177.6,22.68,151.22,9.64,6985.1,11.48,0.23,9.1,17.4,2.3,0.31,0.3,0.4,0.2,857.6,0.1045,EMTRMC,48.045,-123.5905,15.1,74,0.0390218,0.01,0.025,0.045,1.465,0.94,5.65,15.783,6.631,0,0,0,30.5880218,0.001275722,0.000326925,0.000817313,0.001471164,0.047894565,0.030730984,0.184712828,0.515986294,0.216784205,0,0,0.734,1.69,0.7308,0.133333333
Loc03,Tributary,Other,Tributary,Other,Other,Other,Other,3,146,8,59.49985596,1.899879811,3.48178679,0.037153,33,EMTRLLR,80817,6.1,98,10,70,14,158.6,19.72,199.2,12.73,5538.37,39.89,0.68,162.14,57.8,1.42,0.12,0.09,1.4,0.9,606.5,0,EMTRLLR,48.0634,-123.5742,12,66,0.244510546,0.095,1.465,1.295,3.5,1.555,4.68,18.713,23.96,35.511,0,0,91.01851055,0.002686383,0.001043744,0.016095627,0.014227875,0.038453716,0.017084437,0.051418112,0.205595542,0.263243156,0.390151408,0,0.783,1.629,0.7387,0.133333333
Loc04,Tributary,Other,Tributary,Other,Other,Other,Other,4,137,9,42.89952898,3.137531329,5.071918613,0.054106,27,EMTRIC1,81017,12.7,100,8,73,14.9,185.9,28.32,270.71,17.35,5686.3,110.54,0.68,162.37,131.6,0.84,0.09,0.12,4,2.6,373.6,0.0171,EMTRIC1,48.0664,-123.5846,11.2,68,0.018274812,0.01,0.08,0.18,1.31,0.86,3.385,15.687,27.498,61.377,0,0,110.4052748,0.000165525,9.06E-05,0.000724603,0.001630357,0.011865375,0.007789483,0.030659767,0.142085603,0.249064187,0.555924525,0,0.734,1.613,0.7399,0.285714286
Loc05,Middle Elwha,Other,Other,Middle,Other,Other,Other,5,357,10,78.33264145,4.763641876,6.668546888,0.018219,37,EMMSTF,80817,55.1,18,1,93,16.9,99.3,24.39,250.2,4.8,2283.75,2.2,0.32,4.31,3.6,0.4,0.12,0.47,0.7,0.2,744,0.019,EMMSTF,48.0606,-123.581,13.1,64,0.503284244,0.35,0.94,0.84,3.08,1.9,6.61,21.867,33.411,76.986,317.6,0,464.0872842,0.00108446,0.000754168,0.002025481,0.001810004,0.006636683,0.004094057,0.01424301,0.047118292,0.071992923,0.165886898,0.684354023,0.53,1.219,0.6186,0.666666667
Loc06,Middle Elwha,Other,Other,Middle,Other,Other,Other,6,481,9,32.57134556,1.054245525,1.185206268,0.062376,56,EMMSMC,80817,54.5,19,4,65,16.5,90.3,12.02,148.92,3.3,2153.42,0.61,0.14,12.98,2.8,0.87,0.38,1.74,1,2.4,1902.9,0.045,EMMSMC,48.0438,-123.5917,15.2,75,0.290545822,1.12,0.91,0.925,5.09,2.655,7.35,21.654,30.297,112.338,126.8,0,309.4295458,0.000938972,0.003619564,0.002940896,0.002989372,0.016449625,0.008580305,0.023753388,0.069980389,0.097912434,0.363048718,0.409786337,0.452,0.993,0.5593,0.333333333
Loc07,Middle Elwha,Other,Other,Middle,Other,Other,Other,7,476,13,47.11942499,2.54961941,3.509415932,0.072687,36,EMMSCG,81017,40.2,47,0,83,15.6,93.5,12.86,153.23,5.09,2119.24,5.3,0.29,30.86,10.4,0.42,0.12,0.16,0.9,0.6,2184,0.1172,EMMSCG,48.0293,-123.5916,17.4,92,0.213683479,0.465,1.475,0.935,2.775,1.445,6.3,26.623,33.52,32.866,0,0,106.6176835,0.002004203,0.004361378,0.013834478,0.008769652,0.026027577,0.013553099,0.059089635,0.249705294,0.314394375,0.308260308,0,0.704,1.805,0.7862,0.2
Loc08,Middle Elwha,Other,Other,Middle,Other,Other,Other,8,134,8,56.3865269,4.724616103,6.715489298,0.032707,36,EMMSAL,80917,75.3,20,4,62,15.7,97.1,14.04,119.96,6.92,2242.97,9.09,1.64,24.91,13.4,0.73,0.14,1.66,0.9,0.2,2721.6,0.0723,EMMSAL,48.0123,-123.5918,19.8,110,0.125021155,0.845,0.17,0.04,0.25,0.365,2.395,20.695,60.609,147.392,18.9,0,251.7860212,0.000496537,0.003356024,0.000675176,0.000158865,0.000992907,0.001449644,0.009512045,0.082192808,0.240716302,0.585385953,0.075063738,0.622,1.294,0.6635,0.333333333
Loc09,Aldwell Reservoir,Other,Other,Other,Reservoir,Other,Other,9,1336,13,87.56058093,5.221160116,6.864956359,0.013816,33,EMMSLA1,80817,41.8,17,15,92,13.2,87.1,14.68,191.59,4.39,2172.03,2.55,0.21,15.99,16.7,0.78,0.34,2.26,1,1.2,772.2,0.0293,EMMSLA1,48.0676,-123.5783,12.2,63,0.266083245,0.525,0.92,0.958,3.37,1.665,5.225,12.032,27.416,115.569,83.2,0,251.1460832,0.001059476,0.002090417,0.003663207,0.003814513,0.013418485,0.006629608,0.020804625,0.047908372,0.109163558,0.460166444,0.331281296,0.159,0.407,0.1457,0.866666667
Loc10,Aldwell Reservoir,Other,Other,Other,Reservoir,Other,Other,10,1336,13,60.04149707,2.001385646,2.217208085,0.012282,41,EMMSLA2,80817,46.6,6,4,60,13.1,67.8,12.46,136.78,9.08,2399.82,3.01,0.41,3.64,15.7,0.41,0.11,0.43,0.1,1.5,1748.6,0.0706,EMMSLA2,48.0722,-123.5762,11.3,62,0.079831774,0.255,0.905,0.91,1.925,1.29,5.22,16.722,23.007,57.796,112.5,0,220.6098318,0.000361869,0.001155887,0.004102265,0.004124929,0.008725812,0.005847428,0.023661683,0.075798979,0.10428819,0.261982884,0.509950074,0.159,0.407,0.1457,0.9
Loc11,Aldwell Reservoir,Other,Other,Other,Reservoir,Other,Other,11,1427,14,58.24993462,1.708643344,2.149750487,0.021132,35,EMMSLA4,81017,72.3,19,1,78,14,95.2,16.36,131.59,3.48,2237.94,4.99,0.24,7.8,28.8,1.48,0.53,4.02,1.3,2.6,3192,0.0282,EMMSLA4,48.0859,-123.5671,9.2,62,0.125416812,0.31,0.925,0.805,2.54,1.33,5.205,13.49,16.273,33.931,0,0,74.93441681,0.001673688,0.004136951,0.012344128,0.010742727,0.033896307,0.017748854,0.069460739,0.180024087,0.21716323,0.452809289,0,0.213,0.561,0.2234,0.466666667
Loc12,Aldwell Reservoir,Other,Other,Other,Reservoir,Other,Other,12,307,10,88.6656194,1.52637642,2.115243621,0.095203,40,EMMSLA5,81017,28.7,23,7,69,13.9,101.8,13.22,138.4,7.58,2088.13,5.46,0.41,70.79,8.4,0.23,0.06,0.2,1.1,1.3,958.2,0.0154,EMMSLA5,48.0929,-123.5631,8.3,61,0.142545917,0.12,0.57,0.62,2.155,1.15,4.18,12.23,30.026,3.887,0,0,55.08054592,0.002587954,0.002178628,0.010348481,0.011256243,0.039124521,0.020878515,0.075888863,0.222038467,0.545128947,0.07056938,0,0.523,1.204,0.57,0.133333333
Loc13,Lower Elwha,Other,Other,Other,Other,Lower,Other,13,1785,9,104.9822443,8.468150225,19.93399183,0.043913,36,ELMSFW,81117,72.5,61,6,52,14.3,91.4,18.44,257.64,4.6,2391.5,3.23,0.14,16.85,20.7,1.16,0.55,10.28,1.2,3.8,2419.2,0.0417,ELMSFW,48.1036,-123.552,6.5,24,0.493574683,0.34,0.465,0.77,3.435,1.79,6.14,16.092,3.395,52.288,64.7,0,149.9085747,0.003292505,0.002268049,0.003101891,0.005136464,0.022913966,0.011940611,0.040958298,0.107345427,0.022647137,0.348799261,0.431596392,0.331,0.728,0.3367,0.266666667
Loc14,Lower Elwha,Other,Other,Other,Other,Lower,Other,14,9396,13,59.2268431,4.469850211,10.44890126,0.024219,38,ELMSFH,80717,48.8,25,0,81,16.8,82.3,18.39,135.7,2.9,2294.68,1.86,0.3,4.34,32.8,1.17,0.16,1.11,1.6,8.5,3084,0.0506,ELMSFH,48.1192,-123.5541,4.6,16,0.434556825,0.29,0.74,0.445,1.59,0.885,3.805,16.235,13.191,142.475,85.9,0,265.9905568,0.00163373,0.001090264,0.002782054,0.001672992,0.005977656,0.003327186,0.014305019,0.061036001,0.049591986,0.535639316,0.322943796,0.188,0.483,0.2049,0.333333333
Loc15,Lower Elwha,Other,Other,Other,Other,Lower,Other,15,18572,13,70.32013435,1.961847588,3.197348492,0.014815,24,ELMSHR,81017,28.1,46,0,60,16.9,100.5,13.75,131.09,5.67,2569.91,5.17,0.19,50.98,18.5,1.91,0.19,0.79,1.2,1.1,2568,0.1121,ELMSHR,48.1298,-123.5586,2.9,12,0.150879862,0,0,0,0.11,0.42,4.105,21.057,27.863,0,0,0,53.70587986,0.002809373,0,0,0,0.002048193,0.007820373,0.076434834,0.392079974,0.518807253,0,0,0.135,0.345,0.1444,0.5
Loc16,Lower Elwha,Other,Other,Other,Other,Lower,Other,16,581,11,66.49901102,1.173276548,1.579403199,0.016088,37,ELMSNM,80717,17.8,24,11,56,15.8,103.1,14.84,128.91,3.67,2604.06,2.94,0.38,13.52,14.1,0.45,0.12,0.64,1.3,3.4,961.7,0.025,ELMSNM,48.1416,-123.5655,1.2,3,0.196621782,0.895,1.575,1.1,3.26,1.795,6.49,12.971,23.196,20.173,0,0,71.65162178,0.002744136,0.012490994,0.021981359,0.01535206,0.045497923,0.025051771,0.090577154,0.181028701,0.323733077,0.281542825,0,0.38,0.912,0.4884,0.466666667
Loc17,Delta,Other,Other,Other,Other,Other,Delta,17,544,10,153.3333186,3.480455589,6.611876565,0.009289,42,EP7-092816,92816,NA,0,4,0.4,11.6,0.296,NA,NA,10.33,NA,NA,NA,122.26,39.78,0.0002,NA,NA,0.0016,0.0038,NA,NA,EP7-092816,48.1501,-123.5592,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,1.083,0.5186,0.2
Loc18,Delta,Other,Other,Other,Other,Other,Delta,18,50,8,73.06175374,1.298031762,1.817371288,0.00631,40,EP3-092816,92816,NA,0,63,0.01,12.5,1.109,NA,NA,8.9,NA,NA,NA,69.49,17.02,0.001,NA,NA,0.0017,0.0017,NA,NA,EP3-092816,48.1506,-123.5594,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.749,1.558,0.744,0.533333333
Loc19,Delta,Other,Other,Other,Other,Other,Delta,19,371,4,100.7237039,1.882063691,2.888093418,0.009767,45,ES1-100216,100216,NA,0,36,0.09,12.5,0.495,NA,NA,5.65,NA,NA,NA,19.85,8.84,0.001,NA,NA,0.0021,0.0007,NA,NA,ES1-100216,48.1472,-123.5635,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.645,0.3811,0.666666667
Loc20,Delta,Other,Other,Other,Other,Other,Delta,20,147,4,84.84516903,2.256627757,4.056386368,0.011725,35,EP1-092816,92816,NA,0,14,0.24,13.5,1.388,NA,NA,12.21,NA,NA,NA,51.73,12.56,0.001,NA,NA,0.0015,0.0023,NA,NA,EP1-092816,48.1492,-123.5651,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545,0.755,0.3862,0.4
