,sp1,sp2,sp3,sp4,sp6,sp7,sp8,sp11,sp12,sp14,sp16,sp17,sp18,sp19,sp21,sp22,sp23,sp24,sp25,sp26,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp36,sp37,sp38,sp39,sp40,sp41,sp43,sp44,sp45,sp46,sp47,sp48,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp60,sp64,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp74,sp75,sp76,sp77,sp78,sp81,sp82,sp83,sp86,sp87,sp88,sp89,sp91,sp94,sp95,sp96,sp97,sp98,sp103,sp104,sp106,sp107,sp112,sp113,sp114,sp115,sp116,sp117,sp118,sp119,sp120,sp123,sp124,sp126,sp127,sp128,sp129,sp130,sp131,sp133,sp134,sp136,sp137,sp138,sp139,sp140,sp143,sp144,sp145,sp146,sp147,sp148,sp151,sp152,sp153,sp154,sp155,sp160,sp162,sp164,sp165,sp166,sp167,sp169,sp170,sp171,sp172,sp173,sp174,sp175,sp176,sp177,sp178,sp179,sp180,sp183,sp189,sp191,sp192,sp193,sp194,sp195,sp197,sp198,sp199,sp202,sp204,sp205,sp206,sp207,sp208,sp210,sp212,sp213,sp214,sp215,sp216,sp217,sp218,sp219,sp221,sp230,sp233,sp235,sp236,sp237,sp241,sp242,sp245,sp246,sp248,sp251,sp252,sp256,sp259,sp263,sp264,sp265,sp266,sp267,sp268,sp269,sp270,sp271,sp272,sp273,sp274,sp275,sp278,sp279,sp281,sp282,sp283,sp287,sp288,sp293,sp298,sp301,sp302,sp303,sp304,sp307,sp308,sp309,sp310,sp311,sp314,sp315,sp317,sp318,sp319,sp321,sp322,sp324,sp326
sa.1,0.00469328,0.009386561,0,0,0.323836343,0.018773121,0.042239523,0,0,0,5.538070786,0.014079841,0.098558887,0.225277456,0,0.042239523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014079841,0.014079841,0.187731213,0.037546243,0,0.089172326,0,0,0,0.028159682,0,0,0.009386561,0.037546243,0.014079841,0.00469328,0,0.009386561,0,0.5725802,0,0.084479046,0,0.00469328,0,0,499.0787367,0,0,0,0,0,0.178344652,0,0,0,0,0,0,0,0,0.126718569,0,0.018773121,0,0,0,0,0,0,0.051626084,0,0,0,0,0,0,0,0,0,0.065705925,0.046932803,0,0.046932803,0,0,0.356689305,0.00469328,0.061012644,0,0.009386561,0,0,0,0,0,0,0,0.29098338,0.014079841,0,0,0.00469328,0.061012644,0,0,0.00469328,0.197117774,0,0,0,0,0,0,0,0,0,0,0.009386561,0,0,0,0,0,0,0,0,0.009386561,0,0,0,0.009386561,0,0.00469328,0.098558887,0.009386561,0,0,0,0,0.154878251,0.037546243,0.00469328,0,0,0,0,0,0.014079841,0,0,0.046932803,0,0,0.00469328,0.023466402,0.046932803,0,1.229639446,0.018773121,0.037546243,0,0,0,0,0,0,0.014079841,0,0,0,0.023466402,0,0,0,0,0.009386561,0.028159682,0,0,0.042239523,0,0,0,0,0,0,0.042239523,0,0,0,0.037546243
sa.2,0,0.086956522,0.130434783,0,5,0,0.695652174,0,0,0,1.173913043,0.086956522,0,0.086956522,0,0.086956522,0,0,0,0,0,0,0,0,0,0,0,0,0.391304348,0,0,0,0,0,0,0,0,0,0,0,0.956521739,0.217391304,0,1.304347826,0.260869565,0,0,0,0,0,0,0.043478261,2.086956522,0,0,0.043478261,0,0.173913043,5.217391304,0.47826087,0,0,0,0,409.6956522,0,0.043478261,0.434782609,0.086956522,0,1.086956522,0.260869565,0,0,0,0.130434783,0,0,0.043478261,0.304347826,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0.130434783,0.217391304,0,0.47826087,0,0,3.217391304,0,34.91304348,0,15,0,0,0,0,0,0,0,0.52173913,0.086956522,0,0,0,0.52173913,0,0,0,8.782608696,0,0.130434783,0,0,0,0,0,0,0,0,0,0.043478261,0.086956522,0,0,0,0,0,0,0,0,0,0,0.434782609,0,0.086956522,0.130434783,0,0.130434783,0,0,0.086956522,1.347826087,0.347826087,0,0.347826087,0.043478261,0,0,0.217391304,1.043478261,0,0,0.869565217,0,0,0.130434783,0.043478261,0,0,6.130434783,0.782608696,0.434782609,0,0,0,0,0,0,0.565217391,0,0.173913043,0,0,0,0.173913043,0,0,0.173913043,0.043478261,0,0,0.130434783,0,0,0.304347826,0,0,0,0,0,0,0,1.043478261
sa.3,0,0,0,0,3.999121221,0,3.300998766,0.008618796,0,0,0.491271357,0.008618796,0,0.043093979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008618796,0,0,0,0,0,0,0,0,0,0,0.043093979,0,0,0.017237591,0,20.50411505,0.086187957,0,0.034475183,0.189613506,0,0,462.700049,0,0.008618796,0.267182668,0,0,0.12066314,0,0,0,0.008618796,0,0,0,0,0.008618796,0.008618796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008618796,0.034475183,0,0.008618796,0,0,0.344751829,0,2.818346205,0,14.42786406,0,0,0.008618796,0,0,0,0,0.155138323,0.017237591,0,0,0,0,0,0,0,0.025856387,0,0.034475183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008618796,0,0,0,0,0,0,0,0,0.017237591,0,0,0,0,0,0.008618796,0,0,0,0,0.034475183,0,0,0,0.008618796,0,0,0.129281936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051712774
sa.4,0,0.040738078,0,0,3.421998562,0,0.081476156,0,0,0,16.74335011,0,0.305535586,1.344356578,0,0.753654445,0,0,0,0,0,0,0,0,0.020369039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285166547,0.040738078,0,0.814761562,0,0.020369039,0,0,0,0,0,0.448118859,0.244428469,0,0,0,0,10.08267434,3.564581836,0.122214234,0,0.020369039,0,0,392.0632638,0,0,0.122214234,0,0,0.325904625,0,0,0,0,0,0,0,0,3.931224539,0,0.387011742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061107117,0.101845195,0,0.061107117,0,0,0.346273664,0,44.09896957,0,2.098011023,0.061107117,0,0.020369039,0,0,0,0,21.6930266,0.244428469,0,0,0,0.101845195,0,0,0,0,0,0.366642703,0.040738078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061107117,0,0,0.101845195,0,0,0,0.285166547,0,0,0.162952312,0,0,0,0,0,0.549964055,0.122214234,0,0,0,0,0,0.020369039,0.468487898,0,0,0.264797508,0,0,0.040738078,0.020369039,0.061107117,0,2.179487179,0.061107117,0.020369039,0,0,0.081476156,0,0.061107117,0.142583273,0.101845195,0,0.081476156,0.040738078,0,0,0,0,0,0,0.387011742,0,0,0,0,0,0.101845195,0,0,0,0,0,0,0,0.101845195
sa.5,0.361985879,1.40983974,0,0,22.30976129,0,7.677911016,0.095259442,0,0,67.76756696,0.019051888,1.009750084,3.067354029,0.019051888,0.304830214,0,0.038103777,0.076207554,0.419141544,0.038103777,0,0,0.019051888,0,0,0,0.019051888,8.801972431,0.133363219,0.019051888,0,0,0,0.038103777,0.038103777,0,0.057155665,0,0,0.095259442,0.11431133,0,0.11431133,0,0,0,0,0,0.476297209,0.019051888,0.019051888,19.43292615,0.019051888,0,16.65135044,0,0.800179312,1.371735963,0,0,0.019051888,0,0,170.0190519,0,0.190518884,0.457245321,0,0,12.68855766,0,0.038103777,0.019051888,0,0,0,0,0.209570772,12.36467556,0,0.800179312,0.057155665,0,0.019051888,0,0,0,0,0,0,0.038103777,0,0.019051888,0.304830214,0,0.038103777,0,0.247674549,0.228622661,0.495349098,0.228622661,0,0,4.515297546,0.038103777,2.190967164,0,97.16463073,0,0,0.019051888,0,0,0.400089656,0.171466995,16.61324667,3.257872913,0.133363219,0.019051888,0,0,0,0,1.257424633,0.323882102,0,0.266726437,0,0,0,0,0.019051888,0,0,0,0,0,0,0,0,0,0.019051888,0,0,0,0.038103777,0.190518884,0.076207554,0.628712316,0,0,0,0,0.019051888,0,0,0,0.019051888,0,0,0.038103777,0,0,13.85072285,0,0.076207554,0,0,0,0,0,0,0,0.019051888,0,0.781127424,0.019051888,0,0.019051888,0,0,0,0,0,0.019051888,0,0,0,0,0,0,0,0,0.019051888,0,0.057155665,0,0,0,0,0,0,0,0,0.019051888,0.038103777,0,0.057155665,16.27031268
sa.6,0.135694436,3.535593922,0,0.01507716,33.81053036,0,2.487731331,0.00753858,0,0,364.972802,0,5.706704902,17.3462721,0,0.037692899,0,0,0,0,0,0,0,0,0,0,0,0,0.01507716,0,0,0,0,0,0,0.467391947,0,0,0,0,0,0,0,0,0,0,0,0,0.00753858,0,32.4158931,0.36185183,0,0,0,2.201265299,0,0,0.00753858,0,0,0,0,0,1.228788506,0,4.31960622,0,2.419884113,0,0.150771596,0,0,0,0,0,0,0,0,10.7801691,0,0.791550878,1.417253001,0.00753858,1.379560102,0,0,0,0,0,0,0,0,0,0,0,0.995092532,0,0,0.037692899,0,0,0,0,1.492638799,0,0,0,0.022615739,0,0,0,0,0.00753858,1.228788506,0,11.50387276,0.776473718,0,0.030154319,0,0,0.022615739,0,0,0.022615739,0,0.678472181,1.44740732,0.045231479,0,0,0,0,0,0,0,0,0,0,0,1.176018447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01507716,1.356944362,0.01507716,1.040324011,0,0,0.72370366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776473718,0,0,0.557854905
sa.7,0.052949116,2.170913747,0,0.041182646,10.43097581,0,4.188863382,0,0,0,5.241962463,0,0.082365291,0.305928225,0,0.200029993,0,0,0.35887734,0,0,0,0,0,0,4.847785712,0.047065881,0,0.541257628,0,0,0,0,0,0,0,0,0,0,0,0.005883235,0,0,0,0,0,0,0,0,0.158847347,6.142097431,0,1.606123179,0,0,3.535824287,0,0.01176647,0.005883235,0.300044989,0,0,0,0,365.6607104,0,7.283445038,0,0,0,3.677021929,0,0,0,0,0,0,0,0.141197642,0.600089979,0,0.047065881,0,0,0.058832351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02353294,0.417709691,0.005883235,0,0,0.541257628,0,0.017649705,0,46.34224278,0,0,29.76916954,0,0,0.005883235,0,0.753054091,0.088248526,0,0,0,0,0,0,0,0.535374393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005883235,0,0.017649705,0.017649705,0,0.553024098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300044989,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8607519
sa.8,0.787796872,2.264916007,0,0,11.17686812,0,1.230932612,0.541610349,0,0,259.8744931,0,4.874493145,13.24483491,0,0,0,0.049237304,0,0,0,0,0,0,0,0,0,0,0.640084958,0,0.344661131,0,0,0,0,0,0,0,0,0,0,0,0,0.344661131,0,0,0,0,0,0,0,0,9.158138637,0,0,48.99111798,0,0.049237304,0.886271481,0,0,0,0,0,4.037458969,0,0.049237304,0,0,0,0.640084958,0,0,0,0,0,0,0,0.098474609,4.283645491,0,0.344661131,0.295423827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196949218,0,0.098474609,0,0,0,0,0.049237304,0,110.7839351,0,0,0,0,0,0,0,2.067966789,0,0,0,0,0,0,0,0,0,0,0.098474609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147711913,0,0,0,0.049237304,0,0.098474609,0,0,0,0.098474609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049237304,0.049237304,0,0.886271481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11797644
sa.9,0,0,0.021606507,0,0.561769192,0,0.108032537,0.021606507,0,0,71.25826131,0.064819522,1.101931876,3.759532283,0,0,0.021606507,0.129639044,0,0.021606507,0,0,0,0,0,0,0,0,0.194458566,0,0,0,0,0,0,0,0,0,0,0,0.129639044,0,0,0.151245552,0,0,0,0,0,0,0.021606507,0,3.28418912,0,0,3.629893238,0,0.021606507,8.037620742,0.129639044,0.086426029,0.021606507,0,0,57.38688358,0,0.885866802,0.064819522,0,0,117.1720895,0,0,0,0,0,0,0,0.021606507,0.280884596,0,0,0,0,0,0,0,0,0,0,0,0,0.043213015,0,0.064819522,0,0,0,1.598881546,174.8182511,0,0.237671581,0,0,2.787239451,0,14.04422979,0.129639044,40.4473818,0,0,0,0,0.021606507,0,0,0.345704118,0.021606507,0,0,0.043213015,0,0,0,0,3.28418912,0,0.043213015,0,0,0,0,0,0,0,0,0,0,0.086426029,0.043213015,0,0,0,0,0,0.151245552,0,0.259278088,0,0.345704118,0,0,0.043213015,0,0.086426029,0,0,0.021606507,0,0,0,0,0,0,0,0,0.172852059,0,0,0.021606507,0,0,0.021606507,0.108032537,0,0,1.274783935,0.151245552,0,0,0,0,0,0,0,0.043213015,0,0,0.021606507,0,0,0,0,0,0,0.151245552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475343162
sa.10,0,0,0,0,0.16463828,0,0,0,0,0,0.214029764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049391484,0,0,0,0,0,0,0.08231914,0,0,0,0,0,0,0,0,0,2.947025212,0.230493592,0,0,0,0,0,496.6642993,0,0,0,0.049391484,0,0.181102108,0,0,0,0,0,0,0,0,0.098782968,0,0.032927656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08231914,0,0,0,0,0,0,4.19827614,0,3.86899958,0,0,0.016463828,0,0,0,0,0.32927656,0,0.016463828,0,0,0,0,0,0,0,0,0,0.032927656,0.016463828,0,0,0,0,0,0,0,0,0,0,0,0.016463828,0.016463828,0,0,0,0,0,0,0.098782968,0,0,0.032927656,0,0,0,0,0,0.032927656,0.032927656,0,0,0,0,0,0,0.049391484,0,0,0,0,0,0,0.016463828,0,0,0.362204216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032927656,0,0,0,0,0,0,0,0.032927656
sa.11,0,0,0,0,0,0,2.0678216,0,0,0,6.767416144,0,0.187983782,0.375967564,0,0.187983782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187983782,0,0.375967564,0.375967564,0,0.187983782,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315886473,1.315886473,0,0,0,0,0,260.3575378,0,0.187983782,0.751935127,0,0,2.819756727,0,0.563951345,0,0,0,0,0,0,0.187983782,0,0.187983782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187983782,0,0,0.751935127,0,0.751935127,0,0,2.443789163,0,181.5923332,0,34.40103207,0,0,0,0,0,0,0,7.33136749,0,0,0,0,0,0,0,0,0.375967564,0,0.187983782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939918909,0,0,0,0,0,0,0,0,0.187983782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.691854036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187983782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563951345
sa.12,0,0.128366474,0,0,3.979360685,0,0.128366474,0.128366474,0,0,62.89957211,0,0.770198842,3.209161842,0,0,0,0.128366474,0,0,0,0,0,0,0,0.256732947,0,0,0.128366474,0,0,0,0,0.128366474,0,0,0,0,0,0,0.256732947,0.385099421,0,0.385099421,0,0,0,1.540397684,0,0,0,1.155298263,2.310596527,0,0,0,0,2.824062421,152.7561037,0.641832368,0,1.412031211,0,0,149.9320413,0,0.256732947,0.128366474,0,0,2.695695948,0,0,0,0,0,0,0,0.128366474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.155298263,0,0,0,0,0.770198842,0,54.42738485,0,47.88069469,0,0,0.128366474,0,0,0,0,7.830354896,0.128366474,0,0,0,0.256732947,0,0,0,0.128366474,0,0.513465895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128366474,0,0,0,0,0,0,0,0.641832368,0,0,0.256732947,0,0,0,0,0,0.128366474,0,0,0,0,0,0,0,0.770198842,0,0,0.256732947,0,0,0,0.256732947,0,0,2.310596527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256732947,0,0,0,0,0,0,0,0,0,0,0,0,0,3.080795369
sa.13,0,0,0,0,2.388453678,0,0.738249319,0,0,0,0.781675749,0.043426431,0.043426431,0.043426431,0,0.217132153,0,0.086852861,0,1.129087193,0,0,0.043426431,0,0.043426431,0,0,0,0.738249319,0,0,0,0,0,0,0,0,0,0,0,0.738249319,0,0,0.130279292,0,0,0,0.043426431,0,0,0,0.086852861,26.62040191,0,0,26.05585831,0,0.173705722,0.260558583,0.086852861,0.043426431,0,0,0,62.53405995,0,0.130279292,0.260558583,0,0.086852861,102.1389646,0,0,0,0,0,0,0,0,1.129087193,0,0.260558583,0,0,0,0,0,0,0,0,0,0.043426431,0,0.043426431,0,0,0,0,0,128.2816757,0,0.477690736,0,0,0.303985014,0.043426431,0.82510218,0,132.4940395,0,0,0.043426431,0,0,0,0,0.217132153,0.043426431,0,0,0,0.086852861,0,0,0,13.50561989,0,0,0,0,0,0,0.043426431,0,0,0,0,0,0.086852861,0,0,0,0,0,0,0,0,0.043426431,0,0.043426431,0,0,0.173705722,0.130279292,0,0,0,0.043426431,0.390837875,0,0,0,0,0,0,0.173705722,0.086852861,0,0,0.260558583,0,0,0,0,0,0,1.997615804,0.130279292,0,0,0.130279292,0,0,0,0,0.043426431,0.043426431,0,0.043426431,0,0,0,0,0,0,0.173705722,0,0,0,0,0,0.347411444,0,0,0,0,0,0,0,2.127895095
sa.14,0,0,0,0,0.007182997,0,0.014365995,0,0,0,0.021548992,0,0,0.014365995,0,0.064646977,0,0,0,0,0,0,0,0,0.007182997,0,0,0,0,0,0.014365995,0,0,0,0,0,0,0,0,0,0.007182997,0,0,0.007182997,0,0,0,0.071829974,0,0,0,0.086195969,0.057463979,0,0,0,0,0.179574936,0.014365995,0.02873199,0.043097985,0.215489923,0,0,304.0778299,0,0.172391938,0.014365995,0,0,193.4165716,0,0,0,0,0,0,0,0.007182997,0.014365995,0,0.007182997,0.014365995,0,0,0,0,0,0.007182997,0,0,0.014365995,0,0,0,0,0,0,0,0.021548992,0.014365995,0.021548992,0,0,0.014365995,0,1.400684497,0,9.287615667,0,0,0.007182997,0,0,0,0,0.208306925,0.021548992,0,0,0,0.007182997,0,0,0,0.007182997,0.007182997,0.014365995,0,0,0,0,0,0,0,0,0,0,0.007182997,0,0,0,0,0,0.007182997,0,0,0,0,0.014365995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007182997,0,0.007182997,0,0,0,0,0,0,0,0.007182997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007182997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308868889
sa.15,0.14425848,0,0,0,0.005443716,0,0,0.002721858,0.438219158,0,0.024496723,0,0,0,0,0.019053007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378338279,0,0,0,0,0,0,0.002721858,0,0,0,0.002721858,0,0,0,0,0,0.577033922,0,0,0,0.021774865,0.005443716,0,0,0,0,0.019053007,0.400113144,0.002721858,0.070768311,0.008165574,0,0,373.2266294,0.002721858,0.117039899,0.002721858,0,0,112.5243366,0,0,0,0,0,0,0,0,0.032662297,0.002721858,0.002721858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002721858,0.016331149,0,0.016331149,0,0,0,0,0.62330551,0,5.541703136,0,0,0,0,15.42749183,0,0,0.084377602,0.002721858,0,0,0,0.005443716,0,0,0,0.010887432,0,0.005443716,0,0,0,0,0,0,0.002721858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005443716,0,0,0,0,0,0,0.002721858,0,0,0,0,0,0,0,0,0,0.002721858,0,0.002721858,0,0,0,0,0,0,0,0.005443716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005443716,0,0,0,0,0.027218581,0,0,0,0,0,0,0.17419892
